feature,role,PI,SHAP,MI,mRMR,NS_order1,NS_max
f00,informative,0.17955,0.0883,0.25732,30.0,0.12277,0.16305
f01,informative,0.00078,0.02207,0.00749,3.0,-1e-05,0.15871
f02,informative,0.06093,0.05061,0.00108,5.0,-3e-05,0.15934
f03,redundant,0.03347,0.0451,0.20129,28.0,0.07621,0.16347
f04,redundant,0.00098,0.02926,0.12554,26.0,0.05881,0.16323
f05,redundant,0.14256,0.05233,0.10005,21.0,0.00057,0.16076
f06,redundant,0.17865,0.05256,0.13044,20.0,0.00155,0.16241
f07,redundant,0.04877,0.06284,0.21592,29.0,0.10174,0.16303
f08,redundant,0.00138,0.0401,0.06352,15.0,0.00044,0.16136
f09,redundant,0.02073,0.04026,0.18938,27.0,0.07083,0.16339
f10,noise,0.00064,0.00124,0.00167,18.0,-3e-05,-1e-05
f11,noise,0.00051,0.00119,0.00237,8.0,1e-05,1e-05
f12,noise,0.00068,0.00143,0.0,17.0,1e-05,0.00014
f13,noise,0.00098,0.00154,0.0,12.0,1e-05,3e-05
f14,noise,0.00076,0.00143,0.0,25.0,4e-05,4e-05
f15,noise,0.00064,0.00136,0.00116,1.0,0.0,2e-05
f16,noise,0.0005,0.00133,0.0,23.0,-4e-05,-2e-05
f17,noise,0.00049,0.00116,0.0,19.0,5e-05,5e-05
f18,noise,0.00069,0.00119,0.00221,24.0,1e-05,2e-05
f19,noise,0.00122,0.00143,0.0028,2.0,0.0,3e-05
f20,noise,0.00067,0.00162,0.0,14.0,4e-05,4e-05
f21,noise,0.00081,0.00135,0.002,11.0,1e-05,1e-05
f22,noise,0.0004,0.00137,0.0,7.0,-2e-05,-0.0
f23,noise,0.00056,0.00132,0.00451,4.0,-1e-05,2e-05
f24,noise,0.00077,0.00139,0.0,10.0,1e-05,3e-05
f25,noise,0.00107,0.00154,0.00146,16.0,6e-05,8e-05
f26,noise,0.00084,0.00141,0.0,13.0,2e-05,3e-05
f27,noise,0.00105,0.00143,0.0,6.0,-3e-05,-1e-05
f28,noise,0.00046,0.00142,0.0019,22.0,4e-05,5e-05
f29,noise,0.00069,0.00139,0.00534,9.0,-0.0,3e-05
Precision@k,---,0.333,0.333,0.333,0.333,0.333,0.0
Recall@k,---,0.333,0.333,0.333,0.333,0.333,0.0
F1@k,---,0.333,0.333,0.333,0.333,0.333,0.0
selected_redundant,---,2.0,2.0,2.0,2.0,2.0,3.0
selected_noise,---,0.0,0.0,0.0,0.0,0.0,0.0
