feature,role,PI,SHAP,MI,mRMR,NS_order1,NS_max
a1,informative,0.3331,0.14145,0.0,0.0,-0.00259,0.13754
a2,informative,0.33449,0.14111,0.0,0.0,0.00094,0.15269
a3,noise,0.0,0.00231,0.0,0.0,-0.0011,-0.00077
a4,noise,0.0,0.00302,0.0,0.0,-0.00144,-0.00235
a5,informative,0.24792,0.24269,0.21576,6.0,0.09313,0.09465
a6,noise,0.0,0.00272,0.0,0.0,-0.0006,0.00058
Precision@k,---,1.0,1.0,0.333,0.333,0.667,1.0
Recall@k,---,1.0,1.0,0.333,0.333,0.667,1.0
F1@k,---,1.0,1.0,0.333,0.333,0.667,1.0
selected_redundant,---,0.0,0.0,0.0,0.0,0.0,0.0
selected_noise,---,0.0,0.0,2.0,2.0,1.0,0.0
