order,context_indices,target_idx,context_size,target_feature,context_features,repeat,fold,delta
1,(),0,0,X1,(),0,0,0.04868205332849618
1,(),0,0,X1,(),0,1,0.011829479020691647
1,(),0,0,X1,(),0,2,0.020664245630270472
1,(),0,0,X1,(),0,3,0.041281979765832366
1,(),0,0,X1,(),0,4,0.0397371636490681
1,(),0,0,X1,(),1,0,0.02896058151926506
1,(),0,0,X1,(),1,1,0.03254665698295345
1,(),0,0,X1,(),1,2,0.0330058811284244
1,(),0,0,X1,(),1,3,0.05064703083489641
1,(),0,0,X1,(),1,4,0.06234106618025115
1,(),0,0,X1,(),2,0,0.02153289570583039
1,(),0,0,X1,(),2,1,0.009307676768355755
1,(),0,0,X1,(),2,2,0.009445440001154659
1,(),0,0,X1,(),2,3,0.021102361743747133
1,(),0,0,X1,(),2,4,0.02636825545107213
1,(),0,0,X1,(),3,0,0.03147681831725946
1,(),0,0,X1,(),3,1,0.03590985735377883
1,(),0,0,X1,(),3,2,0.031902775387580795
1,(),0,0,X1,(),3,3,0.033719534842539756
1,(),0,0,X1,(),3,4,0.06171896452893766
1,(),0,0,X1,(),4,0,0.013536813155411997
1,(),0,0,X1,(),4,1,0.03290230929854954
1,(),0,0,X1,(),4,2,0.032622886174342725
1,(),0,0,X1,(),4,3,0.06497357736346154
1,(),0,0,X1,(),4,4,0.04607202663435195
1,(),1,0,X2,(),0,0,-0.010026096999156686
1,(),1,0,X2,(),0,1,0.027888227445452052
1,(),1,0,X2,(),0,2,-0.017685844799320338
1,(),1,0,X2,(),0,3,-0.0070701853762635825
1,(),1,0,X2,(),0,4,-0.022785092263890694
1,(),1,0,X2,(),1,0,0.003110226493368562
1,(),1,0,X2,(),1,1,-0.0077801285933246644
1,(),1,0,X2,(),1,2,0.0030116265008219845
1,(),1,0,X2,(),1,3,-0.0005053924459983428
1,(),1,0,X2,(),1,4,0.027101046487527092
1,(),1,0,X2,(),2,0,0.026698903802704232
1,(),1,0,X2,(),2,1,0.018116210233892427
1,(),1,0,X2,(),2,2,-0.018562462715750128
1,(),1,0,X2,(),2,3,-0.012491506120523854
1,(),1,0,X2,(),2,4,-0.010201641533448935
1,(),1,0,X2,(),3,0,0.011672005880215996
1,(),1,0,X2,(),3,1,0.02217701885390455
1,(),1,0,X2,(),3,2,-0.014459437928253216
1,(),1,0,X2,(),3,3,0.03558673676185753
1,(),1,0,X2,(),3,4,-0.003928832887265421
1,(),1,0,X2,(),4,0,-0.004842556128201059
1,(),1,0,X2,(),4,1,-0.009768178681727968
1,(),1,0,X2,(),4,2,0.009034854779891854
1,(),1,0,X2,(),4,3,0.004796155484977027
1,(),1,0,X2,(),4,4,-0.008663193155910687
1,(),2,0,X3,(),0,0,-0.024188225590979884
1,(),2,0,X3,(),0,1,-0.011072342261428503
1,(),2,0,X3,(),0,2,0.014615685660248956
1,(),2,0,X3,(),0,3,-0.001861860806376292
1,(),2,0,X3,(),0,4,-0.015008754456484752
1,(),2,0,X3,(),1,0,-0.0017187980660019475
1,(),2,0,X3,(),1,1,-0.0375749952427763
1,(),2,0,X3,(),1,2,-0.007838969364094117
1,(),2,0,X3,(),1,3,-0.00508122430122937
1,(),2,0,X3,(),1,4,-0.01338304639346033
1,(),2,0,X3,(),2,0,0.01585863008302968
1,(),2,0,X3,(),2,1,0.0011036721620664158
1,(),2,0,X3,(),2,2,-0.007554664823982038
1,(),2,0,X3,(),2,3,-0.013326006675953739
1,(),2,0,X3,(),2,4,0.015241065525201658
1,(),2,0,X3,(),3,0,-0.005564804003356683
1,(),2,0,X3,(),3,1,-0.012111421174148984
1,(),2,0,X3,(),3,2,-0.012698588192800897
1,(),2,0,X3,(),3,3,0.0269609994047052
1,(),2,0,X3,(),3,4,-0.00815636471059078
1,(),2,0,X3,(),4,0,-0.030177148239207807
1,(),2,0,X3,(),4,1,-0.017228333177940036
1,(),2,0,X3,(),4,2,-0.016591011176288473
1,(),2,0,X3,(),4,3,-0.021719254804291155
1,(),2,0,X3,(),4,4,-0.027683367092561917
1,(),3,0,X4,(),0,0,0.05825301973472519
1,(),3,0,X4,(),0,1,0.036583879418909726
1,(),3,0,X4,(),0,2,0.0427385857576128
1,(),3,0,X4,(),0,3,0.052901008613514544
1,(),3,0,X4,(),0,4,0.06878111047662194
1,(),3,0,X4,(),1,0,0.043108080492608725
1,(),3,0,X4,(),1,1,0.049118334073259495
1,(),3,0,X4,(),1,2,0.05520747897548273
1,(),3,0,X4,(),1,3,0.05753362883498958
1,(),3,0,X4,(),1,4,0.05051168100314807
1,(),3,0,X4,(),2,0,0.04530464800462697
1,(),3,0,X4,(),2,1,0.05800486989803033
1,(),3,0,X4,(),2,2,0.0595676977010573
1,(),3,0,X4,(),2,3,0.018990210554173048
1,(),3,0,X4,(),2,4,0.050671184932944424
1,(),3,0,X4,(),3,0,0.06524088326504474
1,(),3,0,X4,(),3,1,0.06044251606206108
1,(),3,0,X4,(),3,2,0.052929057442442584
1,(),3,0,X4,(),3,3,0.044446122047688275
1,(),3,0,X4,(),3,4,0.02401977187381299
