feature,role,PI,SHAP,MI,mRMR,NS_order1,NS_max
X1,informative,0.00889,0.05988,0.0802,15.0,0.03369,0.06334
X2,informative,0.14844,0.05758,0.00451,9.0,0.00162,0.11358
X3,informative,0.13608,0.05414,0.0,3.0,-0.00867,0.11088
X4,redundant,0.01421,0.06374,0.08014,12.0,0.0476,0.06276
X5,redundant,0.01179,0.05807,0.08758,13.0,0.04717,0.06922
X6,noise,0.00305,0.01205,0.00126,4.0,0.00293,0.00732
X7,noise,0.00454,0.01238,0.0,10.0,0.00774,0.00774
X8,noise,0.00276,0.01071,0.0,1.0,-0.00222,0.00351
X9,noise,0.00427,0.01184,0.0,2.0,-0.00957,0.00732
X10,noise,0.00605,0.01579,0.00345,14.0,0.00487,0.00515
X11,noise,0.00361,0.01073,0.0,5.0,0.00498,0.0099
X12,noise,0.00313,0.01223,0.0,11.0,-0.01227,0.00659
X13,noise,0.00613,0.01322,0.0,7.0,-0.00642,0.00897
X14,noise,0.00339,0.01138,0.0037,8.0,-0.00163,0.00512
X15,noise,0.00437,0.0121,0.01778,6.0,0.01146,0.01146
Precision@k,---,0.667,0.333,0.333,0.333,0.333,0.667
Recall@k,---,0.667,0.333,0.333,0.333,0.333,0.667
F1@k,---,0.667,0.333,0.333,0.333,0.333,0.667
selected_redundant,---,1.0,2.0,2.0,1.0,2.0,1.0
selected_noise,---,0.0,0.0,0.0,1.0,0.0,0.0
