method,threshold,recall_informative,fp_noise_rate,selected_redundant_rate
PI,0.002759,1.0,0.9,1.0
PI,0.00423,1.0,0.5,1.0
PI,0.005702,1.0,0.2,1.0
PI,0.007173,1.0,0.0,1.0
PI,0.008645,1.0,0.0,1.0
PI,0.010116,0.6667,0.0,1.0
PI,0.011588,0.6667,0.0,1.0
PI,0.013059,0.6667,0.0,0.5
PI,0.014531,0.6667,0.0,0.0
PI,0.016002,0.6667,0.0,0.0
PI,0.017474,0.6667,0.0,0.0
PI,0.018945,0.6667,0.0,0.0
PI,0.020417,0.6667,0.0,0.0
PI,0.021888,0.6667,0.0,0.0
PI,0.02336,0.6667,0.0,0.0
PI,0.024831,0.6667,0.0,0.0
PI,0.026303,0.6667,0.0,0.0
PI,0.027774,0.6667,0.0,0.0
PI,0.029246,0.6667,0.0,0.0
PI,0.030717,0.6667,0.0,0.0
PI,0.032189,0.6667,0.0,0.0
PI,0.03366,0.6667,0.0,0.0
PI,0.035132,0.6667,0.0,0.0
PI,0.036603,0.6667,0.0,0.0
PI,0.038075,0.6667,0.0,0.0
PI,0.039546,0.6667,0.0,0.0
PI,0.041018,0.6667,0.0,0.0
PI,0.042489,0.6667,0.0,0.0
PI,0.043961,0.6667,0.0,0.0
PI,0.045432,0.6667,0.0,0.0
PI,0.046904,0.6667,0.0,0.0
PI,0.048375,0.6667,0.0,0.0
PI,0.049847,0.6667,0.0,0.0
PI,0.051318,0.6667,0.0,0.0
PI,0.05279,0.6667,0.0,0.0
PI,0.054261,0.6667,0.0,0.0
PI,0.055733,0.6667,0.0,0.0
PI,0.057204,0.6667,0.0,0.0
PI,0.058676,0.6667,0.0,0.0
PI,0.060147,0.6667,0.0,0.0
PI,0.061619,0.6667,0.0,0.0
PI,0.06309,0.6667,0.0,0.0
PI,0.064562,0.6667,0.0,0.0
PI,0.066033,0.6667,0.0,0.0
PI,0.067505,0.6667,0.0,0.0
PI,0.068976,0.6667,0.0,0.0
PI,0.070448,0.6667,0.0,0.0
PI,0.071919,0.6667,0.0,0.0
PI,0.073391,0.6667,0.0,0.0
PI,0.074862,0.6667,0.0,0.0
PI,0.076334,0.6667,0.0,0.0
PI,0.077805,0.6667,0.0,0.0
PI,0.079277,0.6667,0.0,0.0
PI,0.080748,0.6667,0.0,0.0
PI,0.08222,0.6667,0.0,0.0
PI,0.083691,0.6667,0.0,0.0
PI,0.085163,0.6667,0.0,0.0
PI,0.086634,0.6667,0.0,0.0
PI,0.088106,0.6667,0.0,0.0
PI,0.089577,0.6667,0.0,0.0
PI,0.091049,0.6667,0.0,0.0
PI,0.09252,0.6667,0.0,0.0
PI,0.093992,0.6667,0.0,0.0
PI,0.095463,0.6667,0.0,0.0
PI,0.096935,0.6667,0.0,0.0
PI,0.098406,0.6667,0.0,0.0
PI,0.099878,0.6667,0.0,0.0
PI,0.101349,0.6667,0.0,0.0
PI,0.102821,0.6667,0.0,0.0
PI,0.104292,0.6667,0.0,0.0
PI,0.105764,0.6667,0.0,0.0
PI,0.107235,0.6667,0.0,0.0
PI,0.108707,0.6667,0.0,0.0
PI,0.110178,0.6667,0.0,0.0
PI,0.11165,0.6667,0.0,0.0
PI,0.113121,0.6667,0.0,0.0
PI,0.114593,0.6667,0.0,0.0
PI,0.116064,0.6667,0.0,0.0
PI,0.117536,0.6667,0.0,0.0
PI,0.119007,0.6667,0.0,0.0
PI,0.120479,0.6667,0.0,0.0
PI,0.12195,0.6667,0.0,0.0
PI,0.123422,0.6667,0.0,0.0
PI,0.124893,0.6667,0.0,0.0
PI,0.126365,0.6667,0.0,0.0
PI,0.127836,0.6667,0.0,0.0
PI,0.129308,0.6667,0.0,0.0
PI,0.130779,0.6667,0.0,0.0
PI,0.132251,0.6667,0.0,0.0
PI,0.133722,0.6667,0.0,0.0
PI,0.135194,0.6667,0.0,0.0
PI,0.136665,0.3333,0.0,0.0
PI,0.138137,0.3333,0.0,0.0
PI,0.139608,0.3333,0.0,0.0
PI,0.14108,0.3333,0.0,0.0
PI,0.142551,0.3333,0.0,0.0
PI,0.144023,0.3333,0.0,0.0
PI,0.145494,0.3333,0.0,0.0
PI,0.146966,0.3333,0.0,0.0
PI,0.148438,0.0,0.0,0.0
SHAP,0.01071,1.0,0.9,1.0
SHAP,0.011246,1.0,0.8,1.0
SHAP,0.011782,1.0,0.7,1.0
SHAP,0.012317,1.0,0.3,1.0
SHAP,0.012853,1.0,0.2,1.0
SHAP,0.013389,1.0,0.1,1.0
SHAP,0.013924,1.0,0.1,1.0
SHAP,0.01446,1.0,0.1,1.0
SHAP,0.014996,1.0,0.1,1.0
SHAP,0.015531,1.0,0.1,1.0
SHAP,0.016067,1.0,0.0,1.0
SHAP,0.016603,1.0,0.0,1.0
SHAP,0.017138,1.0,0.0,1.0
SHAP,0.017674,1.0,0.0,1.0
