order,context_indices,target_idx,context_size,target_feature,context_features,repeat,fold,delta
1,(),0,0,X1,(),0,0,-0.003492162391940612
1,(),0,0,X1,(),0,1,0.0
1,(),0,0,X1,(),0,2,0.005115138865718127
1,(),0,0,X1,(),0,3,0.01990835291110271
1,(),0,0,X1,(),0,4,0.01808830125667149
1,(),0,0,X1,(),1,0,0.01987183260054326
1,(),0,0,X1,(),1,1,0.006836516572814477
1,(),0,0,X1,(),1,2,0.018801833302609094
1,(),0,0,X1,(),1,3,0.0
1,(),0,0,X1,(),1,4,-0.03211052681006066
1,(),0,0,X1,(),2,0,-0.008633950167465265
1,(),0,0,X1,(),2,1,0.0
1,(),0,0,X1,(),2,2,-0.016842967511704776
1,(),0,0,X1,(),2,3,-0.0249204040494998
1,(),0,0,X1,(),2,4,-0.0035074716479935875
1,(),0,0,X1,(),3,0,0.0017142309845330495
1,(),0,0,X1,(),3,1,-0.003426436078225792
1,(),0,0,X1,(),3,2,-0.0017299290580620186
1,(),0,0,X1,(),3,3,-0.005202585798997128
1,(),0,0,X1,(),3,4,0.0077705214877211715
1,(),0,0,X1,(),4,0,-0.04468774520794283
1,(),0,0,X1,(),4,1,0.0060510960736669395
1,(),0,0,X1,(),4,2,-0.006902895190542213
1,(),0,0,X1,(),4,3,-0.026967962099336718
1,(),0,0,X1,(),4,4,-0.01450217974225354
1,(),1,0,X2,(),0,0,-0.010285647209335447
1,(),1,0,X2,(),0,1,-0.008535496190790304
1,(),1,0,X2,(),0,2,0.012795895484165487
1,(),1,0,X2,(),0,3,-0.02130262141986672
1,(),1,0,X2,(),0,4,0.010379847170244316
1,(),1,0,X2,(),1,0,-0.022128254588289376
1,(),1,0,X2,(),1,1,-0.022274490043544204
1,(),1,0,X2,(),1,2,-0.012841903875055793
1,(),1,0,X2,(),1,3,-0.012735313288806283
1,(),1,0,X2,(),1,4,-0.0008708536869816985
1,(),1,0,X2,(),2,0,-0.011043479361812714
1,(),1,0,X2,(),2,1,-0.026017192510523812
1,(),1,0,X2,(),2,2,0.011011190926344838
1,(),1,0,X2,(),2,3,-0.0290713458164914
1,(),1,0,X2,(),2,4,0.018892476844103667
1,(),1,0,X2,(),3,0,-0.02258925853725291
1,(),1,0,X2,(),3,1,0.022037267690824924
1,(),1,0,X2,(),3,2,-0.0025933074621644625
1,(),1,0,X2,(),3,3,-0.01441650200560829
1,(),1,0,X2,(),3,4,-0.004215201236987376
1,(),1,0,X2,(),4,0,0.005148930249136208
1,(),1,0,X2,(),4,1,0.008515196280056037
1,(),1,0,X2,(),4,2,-0.02335119207848324
1,(),1,0,X2,(),4,3,0.03401559350061922
1,(),1,0,X2,(),4,4,-0.0008499918720489275
1,(),2,0,X3,(),0,0,-0.015522791282049253
1,(),2,0,X3,(),0,1,-0.00974920380576616
1,(),2,0,X3,(),0,2,-0.008093191177525494
1,(),2,0,X3,(),0,3,-0.029597233110613574
1,(),2,0,X3,(),0,4,0.0026422732537580984
1,(),2,0,X3,(),1,0,-0.00944555783101364
1,(),2,0,X3,(),1,1,0.02373288591260414
1,(),2,0,X3,(),1,2,-0.004342168777437427
1,(),2,0,X3,(),1,3,-0.004365147395807956
1,(),2,0,X3,(),1,4,0.0006412038425551714
1,(),2,0,X3,(),2,0,-0.002530518897940315
1,(),2,0,X3,(),2,1,-0.001945872519240166
1,(),2,0,X3,(),2,2,-0.004532067390398575
1,(),2,0,X3,(),2,3,0.023007254312421677
1,(),2,0,X3,(),2,4,0.0008571219518442863
1,(),2,0,X3,(),3,0,-0.005271314307169095
1,(),2,0,X3,(),3,1,-0.007751613946661573
1,(),2,0,X3,(),3,2,-0.03652421407562678
1,(),2,0,X3,(),3,3,0.04409002950722396
1,(),2,0,X3,(),3,4,0.0008467414109587512
1,(),2,0,X3,(),4,0,0.0
1,(),2,0,X3,(),4,1,0.02771818395203418
1,(),2,0,X3,(),4,2,0.012106230941835161
1,(),2,0,X3,(),4,3,-0.013718712899356555
1,(),2,0,X3,(),4,4,0.04505635680018194
1,(),3,0,X4,(),0,0,0.0
1,(),3,0,X4,(),0,1,-0.0008708536869816985
1,(),3,0,X4,(),0,2,-0.0034683773813866114
1,(),3,0,X4,(),0,3,0.014450590493140347
1,(),3,0,X4,(),0,4,-0.01985965788242361
1,(),3,0,X4,(),1,0,-0.012177411201156452
1,(),3,0,X4,(),1,1,0.013435785956208757
1,(),3,0,X4,(),1,2,-0.0017152772043340647
1,(),3,0,X4,(),1,3,-0.015475736164125453
1,(),3,0,X4,(),1,4,0.0033899616252478504
1,(),3,0,X4,(),2,0,0.022368758829269475
1,(),3,0,X4,(),2,1,0.022168115952269862
1,(),3,0,X4,(),2,2,0.004316911328273276
1,(),3,0,X4,(),2,3,-0.005999905794808025
1,(),3,0,X4,(),2,4,0.019172483207923308
1,(),3,0,X4,(),3,0,0.0008714056822038962
1,(),3,0,X4,(),3,1,-0.0017384719955414463
1,(),3,0,X4,(),3,2,-0.00614198466526672
1,(),3,0,X4,(),3,3,-0.015475736164125453
1,(),3,0,X4,(),3,4,-0.007659103905244824
1,(),3,0,X4,(),4,0,0.025206232568975473
1,(),3,0,X4,(),4,1,0.009428546283516082
1,(),3,0,X4,(),4,2,0.021508293441693138
1,(),3,0,X4,(),4,3,0.041384120355854925
1,(),3,0,X4,(),4,4,0.0017493307982184847
1,(),4,0,X5,(),0,0,-0.02858487124032838
1,(),4,0,X5,(),0,1,-0.008535496190790304
1,(),4,0,X5,(),0,2,0.0017173475517372472
1,(),4,0,X5,(),0,3,0.005241461038280382
1,(),4,0,X5,(),0,4,0.013806283248470108
1,(),4,0,X5,(),1,0,-0.014945611961653338
1,(),4,0,X5,(),1,1,-0.0016969749159776448
1,(),4,0,X5,(),1,2,-0.0017278129297613187
1,(),4,0,X5,(),1,3,0.01035449679564504
1,(),4,0,X5,(),1,4,-0.007086780476476928
1,(),4,0,X5,(),2,0,0.009808085561734514
1,(),4,0,X5,(),2,1,-0.00519619031114793
1,(),4,0,X5,(),2,2,0.025072546861761302
1,(),4,0,X5,(),2,3,0.007695708872061946
1,(),4,0,X5,(),2,4,0.004290794993199509
1,(),4,0,X5,(),3,0,0.02052349226577732
1,(),4,0,X5,(),3,1,0.00605851645520572
1,(),4,0,X5,(),3,2,0.0017559445698021037
1,(),4,0,X5,(),3,3,-0.02963405560334953
1,(),4,0,X5,(),3,4,0.004392653867048235
1,(),4,0,X5,(),4,0,-0.027667282795660775
1,(),4,0,X5,(),4,1,0.018427390224317497
1,(),4,0,X5,(),4,2,0.014554325570765414
1,(),4,0,X5,(),4,3,0.003438858388595034
1,(),4,0,X5,(),4,4,0.008681780800689043
1,(),5,0,X6,(),0,0,0.009411475750038978
1,(),5,0,X6,(),0,1,0.0033899616252478504
1,(),5,0,X6,(),0,2,0.02249191609469814
1,(),5,0,X6,(),0,3,0.006043702891294744
1,(),5,0,X6,(),0,4,-0.004370607351298683
1,(),5,0,X6,(),1,0,-0.028341690560656163
1,(),5,0,X6,(),1,1,0.03995155310341447
1,(),5,0,X6,(),1,2,-0.0008697738919516418
1,(),5,0,X6,(),1,3,-0.015705643064940156
1,(),5,0,X6,(),1,4,-0.0196683917508238
1,(),5,0,X6,(),2,0,-0.005830222395232454
1,(),5,0,X6,(),2,1,-0.010291924687618526
1,(),5,0,X6,(),2,2,0.015570297022496793
1,(),5,0,X6,(),2,3,0.0008796393255527946
1,(),5,0,X6,(),2,4,0.001725704548160234
1,(),5,0,X6,(),3,0,0.021521288882304312
1,(),5,0,X6,(),3,1,0.013772725735279545
1,(),5,0,X6,(),3,2,-0.018892476844103667
1,(),5,0,X6,(),3,3,-0.039230534224483304
1,(),5,0,X6,(),3,4,0.0
1,(),5,0,X6,(),4,0,-0.021760682948124277
1,(),5,0,X6,(),4,1,-0.032638534528272034
1,(),5,0,X6,(),4,2,0.013079630732632408
1,(),5,0,X6,(),4,3,-0.001703010428845908
1,(),5,0,X6,(),4,4,0.012109939936346792
1,(),6,0,X7,(),0,0,0.013764325169853153
1,(),6,0,X7,(),0,1,0.0017427912005943957
1,(),6,0,X7,(),0,2,-0.011238002422734095
1,(),6,0,X7,(),0,3,-0.004365147395807956
1,(),6,0,X7,(),0,4,-0.030808017179936087
1,(),6,0,X7,(),1,0,-0.01970366423202574
1,(),6,0,X7,(),1,1,-0.017321824100688277
1,(),6,0,X7,(),1,2,0.01715400484856222
1,(),6,0,X7,(),1,3,-0.0113924559158598
1,(),6,0,X7,(),1,4,0.0052219148903098755
1,(),6,0,X7,(),2,0,0.03416566519147013
1,(),6,0,X7,(),2,1,-0.023429152725856994
1,(),6,0,X7,(),2,2,0.006945376999591524
1,(),6,0,X7,(),2,3,-0.0008459965857211538
1,(),6,0,X7,(),2,4,-0.017216363743058793
1,(),6,0,X7,(),3,0,0.0
1,(),6,0,X7,(),3,1,-0.000874117362499427
1,(),6,0,X7,(),3,2,-0.008576535424131615
1,(),6,0,X7,(),3,3,-0.006928290347157362
1,(),6,0,X7,(),3,4,0.02997176690706016
1,(),6,0,X7,(),4,0,-0.011136127718321953
1,(),6,0,X7,(),4,1,-0.0017406275789333403
1,(),6,0,X7,(),4,2,0.017258316224820658
1,(),6,0,X7,(),4,3,-0.011421228661180338
1,(),6,0,X7,(),4,4,0.013145287065388866
1,(),7,0,X8,(),0,0,0.023300160552434446
1,(),7,0,X8,(),0,1,0.0
1,(),7,0,X8,(),0,2,-0.010457030320424554
1,(),7,0,X8,(),0,3,0.0034514167958701325
1,(),7,0,X8,(),0,4,0.018022702952152025
1,(),7,0,X8,(),1,0,-0.0017526619764907103
1,(),7,0,X8,(),1,1,-0.001758165886548979
1,(),7,0,X8,(),1,2,-0.013047169394243663
1,(),7,0,X8,(),1,3,0.023693716172843438
1,(),7,0,X8,(),1,4,0.008735877603623932
1,(),7,0,X8,(),2,0,-0.005130375002387888
1,(),7,0,X8,(),2,1,0.016756898282762167
1,(),7,0,X8,(),2,2,0.02495061094918183
1,(),7,0,X8,(),2,3,-0.0017449629106077724
1,(),7,0,X8,(),2,4,-0.002609325682523145
1,(),7,0,X8,(),3,0,0.017041162194112114
1,(),7,0,X8,(),3,1,0.0
1,(),7,0,X8,(),3,2,-0.012065655669536768
1,(),7,0,X8,(),3,3,0.01973946696765272
1,(),7,0,X8,(),3,4,0.020081650417370422
1,(),7,0,X8,(),4,0,0.008708802671810734
1,(),7,0,X8,(),4,1,0.014554325570765414
1,(),7,0,X8,(),4,2,0.005356526374807213
1,(),7,0,X8,(),4,3,0.008586888065019282
1,(),7,0,X8,(),4,4,0.009532359269802781
1,(),8,0,X9,(),0,0,-0.016395284184089642
1,(),8,0,X9,(),0,1,-0.027035096545790283
1,(),8,0,X9,(),0,2,0.0
1,(),8,0,X9,(),0,3,-0.0034556336062222526
1,(),8,0,X9,(),0,4,-0.009579612311618635
1,(),8,0,X9,(),1,0,0.01424091478363465
1,(),8,0,X9,(),1,1,-0.01197852547095335
1,(),8,0,X9,(),1,2,-0.014433516054608853
1,(),8,0,X9,(),1,3,-0.009405933858917637
1,(),8,0,X9,(),1,4,0.0016949772935997975
1,(),8,0,X9,(),2,0,-0.005142722814652001
1,(),8,0,X9,(),2,1,-0.008597278288150156
1,(),8,0,X9,(),2,2,-0.010134400997279691
1,(),8,0,X9,(),2,3,0.0
1,(),8,0,X9,(),2,4,-0.028030076497266188
1,(),8,0,X9,(),3,0,-0.026655662793681367
1,(),8,0,X9,(),3,1,-0.009497374843800754
1,(),8,0,X9,(),3,2,-0.026934581975393224
1,(),8,0,X9,(),3,3,-0.011865235228872839
1,(),8,0,X9,(),3,4,0.02319315502902608
1,(),8,0,X9,(),4,0,0.0017374116282604657
1,(),8,0,X9,(),4,1,-0.02334291566415958
1,(),8,0,X9,(),4,2,-0.020660306271642392
1,(),8,0,X9,(),4,3,0.012826512641004095
1,(),8,0,X9,(),4,4,-0.02051142857063737
1,(),9,0,X10,(),0,0,-0.017550120685276394
1,(),9,0,X10,(),0,1,-0.004210302603794069
1,(),9,0,X10,(),0,2,0.0
1,(),9,0,X10,(),0,3,0.006118879047086301
1,(),9,0,X10,(),0,4,0.03995155310341447
1,(),9,0,X10,(),1,0,0.009422795416080487
1,(),9,0,X10,(),1,1,0.019528515150638803
1,(),9,0,X10,(),1,2,0.00960350390080289
1,(),9,0,X10,(),1,3,0.011169842886296077
1,(),9,0,X10,(),1,4,0.020462513517022995
1,(),9,0,X10,(),2,0,0.018996053458664952
1,(),9,0,X10,(),2,1,-0.003438858388595034
1,(),9,0,X10,(),2,2,-0.01555124615907788
1,(),9,0,X10,(),2,3,-0.0008633784041024439
1,(),9,0,X10,(),2,4,0.013624688859529055
1,(),9,0,X10,(),3,0,0.019775211778754964
1,(),9,0,X10,(),3,1,-0.0017152772043340647
1,(),9,0,X10,(),3,2,-0.007695708872061946
1,(),9,0,X10,(),3,3,-0.0008686981035898045
1,(),9,0,X10,(),3,4,0.014786973677290871
1,(),9,0,X10,(),4,0,0.024237519243216488
1,(),9,0,X10,(),4,1,0.006844709302600505
1,(),9,0,X10,(),4,2,0.017560831776102792
1,(),9,0,X10,(),4,3,-0.0050789881154181815
1,(),9,0,X10,(),4,4,-0.0034347026183882967
2,"(1,)",0,1,X1,"('X2',)",0,0,-0.030206706828006635
2,"(1,)",0,1,X1,"('X2',)",0,1,0.032958513980111404
2,"(1,)",0,1,X1,"('X2',)",0,2,-0.00938348336084105
2,"(1,)",0,1,X1,"('X2',)",0,3,-0.0008654945324031438
2,"(1,)",0,1,X1,"('X2',)",0,4,0.007818402396586599
2,"(1,)",0,1,X1,"('X2',)",1,0,0.0
2,"(1,)",0,1,X1,"('X2',)",1,1,-0.006149744901751686
2,"(1,)",0,1,X1,"('X2',)",1,2,0.005115138865718127
2,"(1,)",0,1,X1,"('X2',)",1,3,-0.021404716151592562
2,"(1,)",0,1,X1,"('X2',)",1,4,-0.013497031785322244
2,"(1,)",0,1,X1,"('X2',)",2,0,-0.03994070471512723
2,"(1,)",0,1,X1,"('X2',)",2,1,0.0
2,"(1,)",0,1,X1,"('X2',)",2,2,0.0
2,"(1,)",0,1,X1,"('X2',)",2,3,-0.033805504103660455
2,"(1,)",0,1,X1,"('X2',)",2,4,-0.015089235860426431
