n,protocol,loss,calibrated,context_feature,target_feature,repeat,fold,delta
200,DT + RMSE,rmse,False,X2,X1,0,0,0.5264683086226218
200,DT + RMSE,rmse,False,X2,X1,0,1,0.5178020082788947
200,DT + RMSE,rmse,False,X2,X1,0,2,0.5700787470120555
200,DT + RMSE,rmse,False,X2,X1,0,3,0.5045799413686263
200,DT + RMSE,rmse,False,X2,X1,0,4,0.5636581178204757
200,DT + RMSE,rmse,False,X2,X1,1,0,0.4474746996970841
200,DT + RMSE,rmse,False,X2,X1,1,1,0.5220548245992566
200,DT + RMSE,rmse,False,X2,X1,1,2,0.4328449669381695
200,DT + RMSE,rmse,False,X2,X1,1,3,0.4891452347801213
200,DT + RMSE,rmse,False,X2,X1,1,4,0.43787660638666587
200,DT + RMSE,rmse,False,X2,X1,2,0,0.536303349542497
200,DT + RMSE,rmse,False,X2,X1,2,1,0.5293586320133374
200,DT + RMSE,rmse,False,X2,X1,2,2,0.48567389058536814
200,DT + RMSE,rmse,False,X2,X1,2,3,0.5170037890331762
200,DT + RMSE,rmse,False,X2,X1,2,4,0.5403666636685316
200,DT + RMSE,rmse,False,X2,X1,3,0,0.5055543797210771
200,DT + RMSE,rmse,False,X2,X1,3,1,0.44442874114511766
200,DT + RMSE,rmse,False,X2,X1,3,2,0.5440998605417992
200,DT + RMSE,rmse,False,X2,X1,3,3,0.4891645636625018
200,DT + RMSE,rmse,False,X2,X1,3,4,0.5625700971313412
200,DT + RMSE,rmse,False,X2,X1,4,0,0.5657779276840804
200,DT + RMSE,rmse,False,X2,X1,4,1,0.4363437680558416
200,DT + RMSE,rmse,False,X2,X1,4,2,0.5651274554346689
200,DT + RMSE,rmse,False,X2,X1,4,3,0.42914635599904166
200,DT + RMSE,rmse,False,X2,X1,4,4,0.588090753323594
200,DT + RMSE,rmse,False,X2,X1,5,0,0.47038492915040264
200,DT + RMSE,rmse,False,X2,X1,5,1,0.4129866573131409
200,DT + RMSE,rmse,False,X2,X1,5,2,0.5367500881350274
200,DT + RMSE,rmse,False,X2,X1,5,3,0.5677011662686497
200,DT + RMSE,rmse,False,X2,X1,5,4,0.48459888057770045
200,DT + RMSE,rmse,False,X2,X1,6,0,0.49271975355016084
200,DT + RMSE,rmse,False,X2,X1,6,1,0.46927324340503535
200,DT + RMSE,rmse,False,X2,X1,6,2,0.5170639968887294
200,DT + RMSE,rmse,False,X2,X1,6,3,0.5349480012583135
200,DT + RMSE,rmse,False,X2,X1,6,4,0.5062671059540926
200,DT + RMSE,rmse,False,X2,X1,7,0,0.5121899235759149
200,DT + RMSE,rmse,False,X2,X1,7,1,0.5133802598662959
200,DT + RMSE,rmse,False,X2,X1,7,2,0.5665268496741577
200,DT + RMSE,rmse,False,X2,X1,7,3,0.48806021885214584
200,DT + RMSE,rmse,False,X2,X1,7,4,0.45971430795177176
200,DT + RMSE,rmse,False,X2,X1,8,0,0.49993761833757205
200,DT + RMSE,rmse,False,X2,X1,8,1,0.5350119617976761
200,DT + RMSE,rmse,False,X2,X1,8,2,0.4320555678191565
200,DT + RMSE,rmse,False,X2,X1,8,3,0.5299357200536674
200,DT + RMSE,rmse,False,X2,X1,8,4,0.4882203851645962
200,DT + RMSE,rmse,False,X2,X1,9,0,0.5112252426606179
200,DT + RMSE,rmse,False,X2,X1,9,1,0.4708386755183364
200,DT + RMSE,rmse,False,X2,X1,9,2,0.4740499163622385
200,DT + RMSE,rmse,False,X2,X1,9,3,0.5075034609311959
200,DT + RMSE,rmse,False,X2,X1,9,4,0.4550712514528841
200,DT + log-loss,logloss,False,X2,X1,0,0,0.7484493150245247
200,DT + log-loss,logloss,False,X2,X1,0,1,0.7295178091050004
200,DT + log-loss,logloss,False,X2,X1,0,2,0.8474136938510195
200,DT + log-loss,logloss,False,X2,X1,0,3,0.7030123518782883
200,DT + log-loss,logloss,False,X2,X1,0,4,0.8327254652404485
200,DT + log-loss,logloss,False,X2,X1,1,0,0.5925527591814759
200,DT + log-loss,logloss,False,X2,X1,1,1,0.7387637651481006
200,DT + log-loss,logloss,False,X2,X1,1,2,0.565483527386535
200,DT + log-loss,logloss,False,X2,X1,1,3,0.6694493199493894
200,DT + log-loss,logloss,False,X2,X1,1,4,0.5752539251766882
200,DT + log-loss,logloss,False,X2,X1,2,0,0.76950458637206
200,DT + log-loss,logloss,False,X2,X1,2,1,0.7546394313718059
200,DT + log-loss,logloss,False,X2,X1,2,2,0.6645953187051392
200,DT + log-loss,logloss,False,X2,X1,2,3,0.7272265294904758
200,DT + log-loss,logloss,False,X2,X1,2,4,0.7781854030142481
200,DT + log-loss,logloss,False,X2,X1,3,0,0.7042892786747226
200,DT + log-loss,logloss,False,X2,X1,3,1,0.5858272422637723
200,DT + log-loss,logloss,False,X2,X1,3,2,0.7862932199694949
200,DT + log-loss,logloss,False,X2,X1,3,3,0.6689841708033462
200,DT + log-loss,logloss,False,X2,X1,3,4,0.8293338111928223
200,DT + log-loss,logloss,False,X2,X1,4,0,0.8399756542469733
200,DT + log-loss,logloss,False,X2,X1,4,1,0.5716596394574257
200,DT + log-loss,logloss,False,X2,X1,4,2,0.8336821547992578
200,DT + log-loss,logloss,False,X2,X1,4,3,0.5595789685077663
200,DT + log-loss,logloss,False,X2,X1,4,4,0.8901584446265077
200,DT + log-loss,logloss,False,X2,X1,5,0,0.6350537378926722
200,DT + log-loss,logloss,False,X2,X1,5,1,0.526655513821574
200,DT + log-loss,logloss,False,X2,X1,5,2,0.7703616206919501
200,DT + log-loss,logloss,False,X2,X1,5,3,0.8406867320351032
200,DT + log-loss,logloss,False,X2,X1,5,4,0.6624333027599785
200,DT + log-loss,logloss,False,X2,X1,6,0,0.6787064854019187
200,DT + log-loss,logloss,False,X2,X1,6,1,0.632920925961031
200,DT + log-loss,logloss,False,X2,X1,6,2,0.7285690336701034
200,DT + log-loss,logloss,False,X2,X1,6,3,0.766582480112558
200,DT + log-loss,logloss,False,X2,X1,6,4,0.7067701651335527
200,DT + log-loss,logloss,False,X2,X1,7,0,0.7179055820884709
200,DT + log-loss,logloss,False,X2,X1,7,1,0.720821080839083
200,DT + log-loss,logloss,False,X2,X1,7,2,0.8371852536946848
200,DT + log-loss,logloss,False,X2,X1,7,3,0.6696749978329878
200,DT + log-loss,logloss,False,X2,X1,7,4,0.6130094453689671
200,DT + log-loss,logloss,False,X2,X1,8,0,0.6935763436249629
200,DT + log-loss,logloss,False,X2,X1,8,1,0.7696673351395814
200,DT + log-loss,logloss,False,X2,X1,8,2,0.5638368297174098
200,DT + log-loss,logloss,False,X2,X1,8,3,0.7552009254162231
200,DT + log-loss,logloss,False,X2,X1,8,4,0.670260273898396
200,DT + log-loss,logloss,False,X2,X1,9,0,0.7163240048036701
200,DT + log-loss,logloss,False,X2,X1,9,1,0.6330417295424915
200,DT + log-loss,logloss,False,X2,X1,9,2,0.6417233159858448
200,DT + log-loss,logloss,False,X2,X1,9,3,0.7083976378162569
200,DT + log-loss,logloss,False,X2,X1,9,4,0.6068791157683371
200,DT + log-loss (calibrated),logloss,True,X2,X1,0,0,0.7339695516848342
200,DT + log-loss (calibrated),logloss,True,X2,X1,0,1,0.7136069506130382
200,DT + log-loss (calibrated),logloss,True,X2,X1,0,2,0.7982274703183626
200,DT + log-loss (calibrated),logloss,True,X2,X1,0,3,0.708577650800929
200,DT + log-loss (calibrated),logloss,True,X2,X1,0,4,0.8351020084564795
200,DT + log-loss (calibrated),logloss,True,X2,X1,1,0,0.6237450174244954
200,DT + log-loss (calibrated),logloss,True,X2,X1,1,1,0.6954200516139994
200,DT + log-loss (calibrated),logloss,True,X2,X1,1,2,0.585343615833849
200,DT + log-loss (calibrated),logloss,True,X2,X1,1,3,0.6862386162231778
200,DT + log-loss (calibrated),logloss,True,X2,X1,1,4,0.6144847217797982
200,DT + log-loss (calibrated),logloss,True,X2,X1,2,0,0.7184215050356078
200,DT + log-loss (calibrated),logloss,True,X2,X1,2,1,0.7368656021656953
200,DT + log-loss (calibrated),logloss,True,X2,X1,2,2,0.6641500514632651
200,DT + log-loss (calibrated),logloss,True,X2,X1,2,3,0.737315369363775
200,DT + log-loss (calibrated),logloss,True,X2,X1,2,4,0.7320456187335705
200,DT + log-loss (calibrated),logloss,True,X2,X1,3,0,0.6991592030741947
200,DT + log-loss (calibrated),logloss,True,X2,X1,3,1,0.642028474187591
200,DT + log-loss (calibrated),logloss,True,X2,X1,3,2,0.7131054302083643
200,DT + log-loss (calibrated),logloss,True,X2,X1,3,3,0.6494258738128688
200,DT + log-loss (calibrated),logloss,True,X2,X1,3,4,0.7759680763751869
200,DT + log-loss (calibrated),logloss,True,X2,X1,4,0,0.9014199099906844
200,DT + log-loss (calibrated),logloss,True,X2,X1,4,1,0.5810267763900021
200,DT + log-loss (calibrated),logloss,True,X2,X1,4,2,0.7448148068311609
