order,context_indices,target_idx,context_size,target_feature,context_features,repeat,fold,delta,seed
1,(),0,0,X1,(),0,0,0.025563591453628187,42
1,(),0,0,X1,(),0,1,0.040922658784353694,42
1,(),0,0,X1,(),0,2,0.0365401668229523,42
1,(),0,0,X1,(),0,3,0.02079432485031002,42
1,(),0,0,X1,(),0,4,0.030140821103997795,42
1,(),0,0,X1,(),1,0,0.02716818593092829,42
1,(),0,0,X1,(),1,1,0.038095827972841056,42
1,(),0,0,X1,(),1,2,0.03117200942704368,42
1,(),0,0,X1,(),1,3,0.030499393530375785,42
1,(),0,0,X1,(),1,4,0.03224152872086067,42
1,(),0,0,X1,(),2,0,0.03479222568084378,42
1,(),0,0,X1,(),2,1,0.029483601616784982,42
1,(),0,0,X1,(),2,2,0.028723740385502017,42
1,(),0,0,X1,(),2,3,0.031201003986985387,42
1,(),0,0,X1,(),2,4,0.03515639820226052,42
1,(),0,0,X1,(),3,0,0.02840476573746381,42
1,(),0,0,X1,(),3,1,0.03248548857921868,42
1,(),0,0,X1,(),3,2,0.03362025568056182,42
1,(),0,0,X1,(),3,3,0.037744805774946155,42
1,(),0,0,X1,(),3,4,0.02638687188311334,42
1,(),0,0,X1,(),4,0,0.041011266581040706,42
1,(),0,0,X1,(),4,1,0.03184219232418933,42
1,(),0,0,X1,(),4,2,0.02648655621848317,42
1,(),0,0,X1,(),4,3,0.029798294645607237,42
1,(),0,0,X1,(),4,4,0.02688919964952724,42
1,(),1,0,X2,(),0,0,0.026233963442218233,42
1,(),1,0,X2,(),0,1,0.03529849716850558,42
1,(),1,0,X2,(),0,2,0.03773617562569864,42
1,(),1,0,X2,(),0,3,0.02062124638847357,42
1,(),1,0,X2,(),0,4,0.033362022524408674,42
1,(),1,0,X2,(),1,0,0.024756321174704443,42
1,(),1,0,X2,(),1,1,0.03893723008591671,42
1,(),1,0,X2,(),1,2,0.029568802088606405,42
1,(),1,0,X2,(),1,3,0.03581702830492223,42
1,(),1,0,X2,(),1,4,0.02299201430587594,42
1,(),1,0,X2,(),2,0,0.03082892149987576,42
1,(),1,0,X2,(),2,1,0.03330705350090457,42
1,(),1,0,X2,(),2,2,0.02721685884707148,42
1,(),1,0,X2,(),2,3,0.029034975656209272,42
1,(),1,0,X2,(),2,4,0.03079481106716686,42
1,(),1,0,X2,(),3,0,0.02164777998864237,42
1,(),1,0,X2,(),3,1,0.030639779633271746,42
1,(),1,0,X2,(),3,2,0.029597884796769114,42
1,(),1,0,X2,(),3,3,0.03568069935770829,42
1,(),1,0,X2,(),3,4,0.028328929641444622,42
1,(),1,0,X2,(),4,0,0.032454370110095776,42
1,(),1,0,X2,(),4,1,0.03246026255091444,42
1,(),1,0,X2,(),4,2,0.027030860949155244,42
1,(),1,0,X2,(),4,3,0.02994005199002525,42
1,(),1,0,X2,(),4,4,0.024639649912362782,42
1,(),2,0,X3,(),0,0,0.06759089399514401,42
1,(),2,0,X3,(),0,1,0.06608547733537284,42
1,(),2,0,X3,(),0,2,0.056690189463895646,42
1,(),2,0,X3,(),0,3,0.058610625729423604,42
1,(),2,0,X3,(),0,4,0.06571609315808413,42
1,(),2,0,X3,(),1,0,0.06999371471583765,42
1,(),2,0,X3,(),1,1,0.061187514454562,42
1,(),2,0,X3,(),1,2,0.06703639576749393,42
1,(),2,0,X3,(),1,3,0.04092159322169331,42
1,(),2,0,X3,(),1,4,0.06261613222891221,42
1,(),2,0,X3,(),2,0,0.0761773988223467,42
1,(),2,0,X3,(),2,1,0.05283063296525242,42
1,(),2,0,X3,(),2,2,0.044406148765524234,42
1,(),2,0,X3,(),2,3,0.07670559603911115,42
1,(),2,0,X3,(),2,4,0.060394062389572456,42
1,(),2,0,X3,(),3,0,0.045203827499431526,42
1,(),2,0,X3,(),3,1,0.06690625664135735,42
1,(),2,0,X3,(),3,2,0.07104764117262974,42
1,(),2,0,X3,(),3,3,0.04782540479374725,42
1,(),2,0,X3,(),3,4,0.07002140342268642,42
1,(),2,0,X3,(),4,0,0.06128992208397627,42
1,(),2,0,X3,(),4,1,0.05909251037903818,42
1,(),2,0,X3,(),4,2,0.07938799257102103,42
1,(),2,0,X3,(),4,3,0.056304399305934394,42
1,(),2,0,X3,(),4,4,0.05770437421225533,42
1,(),3,0,X4,(),0,0,0.06566621026567093,42
1,(),3,0,X4,(),0,1,0.0648268234741805,42
1,(),3,0,X4,(),0,2,0.05604840291673219,42
1,(),3,0,X4,(),0,3,0.05795347213224844,42
1,(),3,0,X4,(),0,4,0.06749357191612954,42
1,(),3,0,X4,(),1,0,0.06934933900513929,42
1,(),3,0,X4,(),1,1,0.06227870840415517,42
1,(),3,0,X4,(),1,2,0.06536853239183021,42
1,(),3,0,X4,(),1,3,0.04071873761813005,42
1,(),3,0,X4,(),1,4,0.06094618393104728,42
1,(),3,0,X4,(),2,0,0.07601508375213817,42
1,(),3,0,X4,(),2,1,0.05333419959854707,42
1,(),3,0,X4,(),2,2,0.043287169511363466,42
1,(),3,0,X4,(),2,3,0.07565191704247143,42
1,(),3,0,X4,(),2,4,0.060461399212161204,42
1,(),3,0,X4,(),3,0,0.04459165032565049,42
1,(),3,0,X4,(),3,1,0.06802293663597503,42
1,(),3,0,X4,(),3,2,0.07056188799150243,42
1,(),3,0,X4,(),3,3,0.04578527119985615,42
1,(),3,0,X4,(),3,4,0.06908662346281214,42
1,(),3,0,X4,(),4,0,0.0600278919345702,42
1,(),3,0,X4,(),4,1,0.058740401902106554,42
1,(),3,0,X4,(),4,2,0.07885769502362083,42
1,(),3,0,X4,(),4,3,0.0550389304965298,42
1,(),3,0,X4,(),4,4,0.05692596960779084,42
1,(),4,0,X5,(),0,0,0.0006698637949894004,42
1,(),4,0,X5,(),0,1,-0.00015125574110086415,42
1,(),4,0,X5,(),0,2,-1.2854101787418415e-05,42
1,(),4,0,X5,(),0,3,1.6745798128048328e-05,42
1,(),4,0,X5,(),0,4,-0.00025990869084124846,42
1,(),4,0,X5,(),1,0,-0.000785035110955401,42
1,(),4,0,X5,(),1,1,0.000213876347119335,42
1,(),4,0,X5,(),1,2,-9.365677396611094e-05,42
1,(),4,0,X5,(),1,3,0.0007473594867764,42
1,(),4,0,X5,(),1,4,-1.2297710256792271e-05,42
1,(),4,0,X5,(),2,0,0.00017851746108255018,42
1,(),4,0,X5,(),2,1,0.0002856026010625845,42
1,(),4,0,X5,(),2,2,-7.608829342375945e-05,42
1,(),4,0,X5,(),2,3,-0.0006123411433309744,42
1,(),4,0,X5,(),2,4,0.00017275925503901224,42
1,(),4,0,X5,(),3,0,0.0008009876029979046,42
1,(),4,0,X5,(),3,1,-4.273701701973387e-06,42
1,(),4,0,X5,(),3,2,-2.8638195397112653e-05,42
1,(),4,0,X5,(),3,3,0.00023464594669286853,42
1,(),4,0,X5,(),3,4,-0.0003214311183160623,42
1,(),4,0,X5,(),4,0,0.0001321508987435216,42
1,(),4,0,X5,(),4,1,-0.0001253446977891315,42
1,(),4,0,X5,(),4,2,0.0001592486512839164,42
1,(),4,0,X5,(),4,3,0.0003878229778663811,42
1,(),4,0,X5,(),4,4,0.0001697337433917978,42
1,(),5,0,X6,(),0,0,0.0007024164360044383,42
1,(),5,0,X6,(),0,1,0.0008589853093519673,42
1,(),5,0,X6,(),0,2,-6.892839970629172e-05,42
1,(),5,0,X6,(),0,3,-4.620761271789675e-05,42
1,(),5,0,X6,(),0,4,-0.0005877488391611285,42
1,(),5,0,X6,(),1,0,0.00021785017427566888,42
1,(),5,0,X6,(),1,1,-0.0007941960225926747,42
1,(),5,0,X6,(),1,2,-0.000507190946991698,42
1,(),5,0,X6,(),1,3,0.000573026895435369,42
1,(),5,0,X6,(),1,4,0.0018840748511844696,42
1,(),5,0,X6,(),2,0,5.531084238719064e-05,42
1,(),5,0,X6,(),2,1,-2.2437480636294804e-05,42
1,(),5,0,X6,(),2,2,-3.798526156872928e-05,42
1,(),5,0,X6,(),2,3,0.0007716387155251581,42
1,(),5,0,X6,(),2,4,-0.0010883144078006057,42
1,(),5,0,X6,(),3,0,-4.5786944822878706e-05,42
1,(),5,0,X6,(),3,1,-0.0004796048665291486,42
1,(),5,0,X6,(),3,2,-0.0003043575955901101,42
1,(),5,0,X6,(),3,3,-7.921625720275216e-06,42
1,(),5,0,X6,(),3,4,0.00022858738632641762,42
1,(),5,0,X6,(),4,0,0.00024809702586370275,42
1,(),5,0,X6,(),4,1,0.00013007295271294517,42
1,(),5,0,X6,(),4,2,0.0012356148029295522,42
1,(),5,0,X6,(),4,3,0.00045584851985214225,42
1,(),5,0,X6,(),4,4,-0.00017838270029879588,42
1,(),6,0,X7,(),0,0,0.00011414511493723634,42
1,(),6,0,X7,(),0,1,6.440402624480202e-05,42
1,(),6,0,X7,(),0,2,0.00040104942625507345,42
1,(),6,0,X7,(),0,3,-0.00048535942872052207,42
1,(),6,0,X7,(),0,4,1.3342786040981824e-05,42
1,(),6,0,X7,(),1,0,-0.0007526031264741828,42
1,(),6,0,X7,(),1,1,0.0003971666715766875,42
1,(),6,0,X7,(),1,2,-1.045396146387434e-05,42
1,(),6,0,X7,(),1,3,-0.0001335120465176809,42
1,(),6,0,X7,(),1,4,0.0009223882699717079,42
1,(),6,0,X7,(),2,0,-0.00014213204231150467,42
1,(),6,0,X7,(),2,1,-0.000686807959149327,42
1,(),6,0,X7,(),2,2,0.000837909977351059,42
1,(),6,0,X7,(),2,3,0.0001567986834060675,42
1,(),6,0,X7,(),2,4,0.0007429934953794293,42
1,(),6,0,X7,(),3,0,-0.0002664511929364455,42
1,(),6,0,X7,(),3,1,0.0006313734305408714,42
1,(),6,0,X7,(),3,2,0.0001376104067869477,42
1,(),6,0,X7,(),3,3,0.00020712268531636324,42
1,(),6,0,X7,(),3,4,0.00013652163096494752,42
1,(),6,0,X7,(),4,0,-3.363986683924125e-05,42
1,(),6,0,X7,(),4,1,0.0015611301441119108,42
1,(),6,0,X7,(),4,2,-6.333805708430562e-05,42
1,(),6,0,X7,(),4,3,0.00019807537555277532,42
1,(),6,0,X7,(),4,4,-0.0005252893146505122,42
1,(),7,0,X8,(),0,0,1.3948914827865977e-05,42
1,(),7,0,X8,(),0,1,-3.119290037878475e-05,42
1,(),7,0,X8,(),0,2,-0.0001212028005246335,42
1,(),7,0,X8,(),0,3,-0.0001528621763667859,42
1,(),7,0,X8,(),0,4,-8.560461461915025e-08,42
1,(),7,0,X8,(),1,0,-0.0003043832194332685,42
1,(),7,0,X8,(),1,1,0.0005810901069348562,42
1,(),7,0,X8,(),1,2,-0.0002763307533057424,42
1,(),7,0,X8,(),1,3,-3.6149815208774694e-05,42
1,(),7,0,X8,(),1,4,0.000539114013053954,42
1,(),7,0,X8,(),2,0,0.0003235429177939064,42
1,(),7,0,X8,(),2,1,0.00036093361722144834,42
1,(),7,0,X8,(),2,2,7.338714967802806e-05,42
1,(),7,0,X8,(),2,3,-0.0010957684515226496,42
1,(),7,0,X8,(),2,4,0.0007067104481268127,42
1,(),7,0,X8,(),3,0,0.0006912118948653734,42
1,(),7,0,X8,(),3,1,-7.76645968382228e-05,42
1,(),7,0,X8,(),3,2,-0.0004456481442225435,42
1,(),7,0,X8,(),3,3,0.0008093394855450131,42
1,(),7,0,X8,(),3,4,0.0002786724132334273,42
1,(),7,0,X8,(),4,0,0.0002870521611275101,42
1,(),7,0,X8,(),4,1,-0.00040035760882750626,42
1,(),7,0,X8,(),4,2,-0.00014140181435873256,42
1,(),7,0,X8,(),4,3,-4.2590052618696195e-05,42
1,(),7,0,X8,(),4,4,0.0005158613875489992,42
1,(),0,0,X1,(),0,0,0.025067430506706012,43
1,(),0,0,X1,(),0,1,0.03476632936201307,43
1,(),0,0,X1,(),0,2,0.029049734513295122,43
1,(),0,0,X1,(),0,3,0.022858275047154097,43
1,(),0,0,X1,(),0,4,0.03724471740859531,43
1,(),0,0,X1,(),1,0,0.03337679384832454,43
1,(),0,0,X1,(),1,1,0.029365404538486073,43
1,(),0,0,X1,(),1,2,0.0328458255817034,43
1,(),0,0,X1,(),1,3,0.033386126916982894,43
1,(),0,0,X1,(),1,4,0.02270717370373926,43
1,(),0,0,X1,(),2,0,0.037018004931482495,43
1,(),0,0,X1,(),2,1,0.024108833655587747,43
1,(),0,0,X1,(),2,2,0.029683868485250675,43
