seed,feature,role,in_C,in_I_expected,ATE_do,MI_marginal,NS_delta_order1
42,X1,confounder_proxy,False,True,-0.0015999999999999903,0.061299668571948907,0.03148660702175279
42,X2,confounder_proxy,False,True,0.0020400000000000418,0.06040053271727608,0.02995704762443792
42,X3,true_cause,True,True,0.52086,0.12835568349748083,0.06166984804537216
42,X4,redundant_proxy,False,True,-0.0014399999999999968,0.12419638040795,0.061081560390094373
42,X5,noise,False,False,0.0011599999999999944,0.0,6.744757145227487e-05
42,X6,noise,False,False,0.0015999999999999903,0.0,0.00012769844830849973
42,X7,noise,False,False,0.003039999999999987,0.0,0.00013689780513157057
42,X8,noise,False,False,0.0006200000000000649,0.0,8.22090628694494e-05
43,X1,confounder_proxy,False,True,-0.00015999999999999348,0.06659067825552256,0.03012800903613748
43,X2,confounder_proxy,False,True,0.000500000000000056,0.06843506459888271,0.03352932377746445
43,X3,true_cause,True,True,0.5242600000000001,0.13144806643342655,0.061044665924848134
43,X4,redundant_proxy,False,True,0.0007199999999999984,0.12512463856531664,0.059897675244224596
43,X5,noise,False,False,0.00019999999999997797,0.007296976252058052,5.194252019860457e-05
43,X6,noise,False,False,0.0009400000000000519,0.0,-6.403743861574051e-05
43,X7,noise,False,False,-0.0022599999999999842,0.010578371738742653,6.910143927960854e-05
43,X8,noise,False,False,-0.003180000000000016,0.0008730730224519867,-2.0996363054996968e-05
44,X1,confounder_proxy,False,True,0.0021999999999999797,0.08369153398926787,0.041107588631223727
44,X2,confounder_proxy,False,True,0.0047599999999999865,0.08082814558913043,0.041581489386258476
44,X3,true_cause,True,True,0.5203599999999999,0.14065835881676847,0.06684777921522483
44,X4,redundant_proxy,False,True,6.0000000000004494e-05,0.1382036131961044,0.06528305367523415
44,X5,noise,False,False,-0.0016599999999999393,0.005619332728340254,4.272627011380425e-05
44,X6,noise,False,False,-0.0018799999999999928,0.003641640497694887,0.00021125748061674666
44,X7,noise,False,False,0.0021800000000000153,0.005949641207706691,-3.9909779168065815e-05
44,X8,noise,False,False,-0.002880000000000049,0.0014112181306868976,-8.378629481123668e-05
45,X1,confounder_proxy,False,True,0.005639999999999923,0.07492757949925988,0.03695381787575717
45,X2,confounder_proxy,False,True,-0.0010799999999999699,0.0751795116537215,0.03823759156335466
45,X3,true_cause,True,True,0.5199199999999999,0.12456959640367327,0.05674841579514938
45,X4,redundant_proxy,False,True,-0.0014600000000000168,0.11961258282365161,0.05548159853368028
45,X5,noise,False,False,-0.0017999999999999128,0.006470692550592627,0.00012593751463068291
45,X6,noise,False,False,-0.0048599999999999755,0.0005217820584073607,-5.947466794102852e-06
45,X7,noise,False,False,-0.00024000000000001798,0.0,4.149223528260082e-05
45,X8,noise,False,False,-0.0017800000000000038,0.0,-6.807428825530648e-05
46,X1,confounder_proxy,False,True,0.0037399999999999656,0.07595336993831436,0.03426439526098244
46,X2,confounder_proxy,False,True,-0.0009799999999999809,0.06407828594962961,0.032296510546421076
46,X3,true_cause,True,True,0.52484,0.10417383280185932,0.0501254713044934
46,X4,redundant_proxy,False,True,0.0,0.1053929693414597,0.049582082930449085
46,X5,noise,False,False,0.00029999999999996696,0.0,-0.00011929109612082155
46,X6,noise,False,False,-0.00015999999999999348,0.0,7.599715245118821e-05
46,X7,noise,False,False,-0.0013400000000000079,0.0,7.578134393755098e-05
46,X8,noise,False,False,0.000500000000000056,0.0,-9.009353370487139e-05
47,X1,confounder_proxy,False,True,-0.0006000000000000449,0.06754047829414311,0.034480895892066
47,X2,confounder_proxy,False,True,0.005280000000000007,0.07385051339933346,0.035482425078231475
47,X3,true_cause,True,True,0.51842,0.10938917557209127,0.05217415323759091
47,X4,redundant_proxy,False,True,0.0007800000000000029,0.11177691995137717,0.051345260191901713
47,X5,noise,False,False,-0.003659999999999941,0.0,-1.0606716654790738e-05
47,X6,noise,False,False,-0.003940000000000055,0.0,5.448117289487131e-05
47,X7,noise,False,False,0.0030200000000000227,0.0,5.9696825314226044e-05
47,X8,noise,False,False,-0.0038399999999999546,0.005987335321019582,-4.357017402372376e-05
48,X1,confounder_proxy,False,True,0.0017600000000000393,0.0804327540118237,0.03798085416019471
48,X2,confounder_proxy,False,True,-0.0028799999999999937,0.07644656897687963,0.03555378325526639
48,X3,true_cause,True,True,0.5227799999999999,0.12293576928747552,0.056114579888591344
48,X4,redundant_proxy,False,True,0.003080000000000027,0.11426601192795172,0.055628929747297474
48,X5,noise,False,False,-0.00027999999999994696,0.0,-0.00018536986191516335
48,X6,noise,False,False,-0.0010200000000000209,0.0,4.345635415455185e-05
48,X7,noise,False,False,0.003280000000000005,0.0,-0.00013613447492266006
48,X8,noise,False,False,-0.002840000000000009,0.0,4.819354172754586e-05
49,X1,confounder_proxy,False,True,0.0046599999999999975,0.08009833693344603,0.03984613849753729
49,X2,confounder_proxy,False,True,-0.0014200000000000323,0.07103752846368705,0.03763688913200694
49,X3,true_cause,True,True,0.51888,0.11110520460599949,0.05621165759977995
49,X4,redundant_proxy,False,True,0.0021599999999999397,0.11241276730707472,0.055777117526168006
49,X5,noise,False,False,-9.999999999998899e-05,0.00012861149938414584,-4.139810712603609e-05
49,X6,noise,False,False,-0.003720000000000001,0.0027452623171528856,-5.399859440136101e-06
49,X7,noise,False,False,-0.006400000000000017,0.002838654595230583,-0.0001050763151302947
49,X8,noise,False,False,-0.00041999999999997595,0.0,0.0001298217433408766
50,X1,confounder_proxy,False,True,-0.0008600000000000829,0.07382151732076014,0.032496582874628185
50,X2,confounder_proxy,False,True,0.0015999999999999903,0.06575875983652057,0.031854196173984904
50,X3,true_cause,True,True,0.5190600000000001,0.12155918554087597,0.058036980530611536
50,X4,redundant_proxy,False,True,0.00388000000000005,0.11402854269348284,0.05714163241865326
50,X5,noise,False,False,0.0020399999999999863,4.3167430664237116e-05,-3.3746676393549005e-05
50,X6,noise,False,False,0.0015399999999999858,0.0,-0.00011689671341990948
50,X7,noise,False,False,-0.00038000000000004697,0.0003425004997024139,-0.00017260470001973839
50,X8,noise,False,False,0.006199999999999983,0.0004045951388924607,-0.00010258903699168264
51,X1,confounder_proxy,False,True,-0.0023399999999999532,0.08414749634714713,0.03786087463355981
51,X2,confounder_proxy,False,True,-0.0033600000000000296,0.07261819925362634,0.035133401225677756
51,X3,true_cause,True,True,0.5246999999999999,0.11559775744716339,0.05592973261628906
51,X4,redundant_proxy,False,True,0.00019999999999997797,0.11813787850946156,0.05549257094190995
51,X5,noise,False,False,-0.0007999999999999674,0.0,2.1535676265220794e-05
51,X6,noise,False,False,-0.004139999999999977,0.0,-0.0001008271740461697
51,X7,noise,False,False,0.00048000000000003595,0.0,0.0001259393857719293
51,X8,noise,False,False,-0.002799999999999969,0.003572556416183481,0.00013563945996097226
52,X1,confounder_proxy,False,True,0.002819999999999989,0.0733752171655162,0.03440543151191102
52,X2,confounder_proxy,False,True,-0.0028799999999999937,0.08284937498563139,0.03634857562943143
52,X3,true_cause,True,True,0.5179199999999999,0.1188379615945987,0.06241463391486559
52,X4,redundant_proxy,False,True,0.0010399999999999854,0.12617405720660635,0.061534845431763914
52,X5,noise,False,False,0.0034600000000000186,0.00018448940105164624,-0.0001809207597504736
52,X6,noise,False,False,-0.0033400000000000096,0.007153553429484205,7.660288781455193e-05
52,X7,noise,False,False,0.0036399999999999766,0.005510476932457209,0.00010325757417972925
52,X8,noise,False,False,0.00038000000000004697,0.0,-0.00012625754637411558
53,X1,confounder_proxy,False,True,0.00042000000000003146,0.08387497753006556,0.03794082624847138
53,X2,confounder_proxy,False,True,0.0009799999999999809,0.07991759694807721,0.0390253666436401
53,X3,true_cause,True,True,0.52206,0.11702281281101312,0.05635345725864199
53,X4,redundant_proxy,False,True,-0.0021200000000000108,0.11767716575172393,0.055771765284515364
53,X5,noise,False,False,-0.0006200000000000094,0.0,0.0003037486179103843
53,X6,noise,False,False,-0.0029599999999999627,0.0,0.0005458275818694002
53,X7,noise,False,False,0.0008600000000000829,0.0,-1.24301922390746e-05
53,X8,noise,False,False,0.000140000000000029,0.005436412376738531,-2.345962852666972e-05
54,X1,confounder_proxy,False,True,0.0007200000000000539,0.0658767684588435,0.03400226453623876
54,X2,confounder_proxy,False,True,-0.0005800000000000249,0.06535383212194379,0.03200621219400321
54,X3,true_cause,True,True,0.5210400000000001,0.11703466986813904,0.058732536351360595
54,X4,redundant_proxy,False,True,0.0007800000000000029,0.11851897186790916,0.0577465740574448
54,X5,noise,False,False,-0.0016799999999999593,0.00015886799417463848,0.00014948122657615581
54,X6,noise,False,False,0.0017400000000000193,0.0,0.00016193248289095408
54,X7,noise,False,False,0.002900000000000069,0.0023493909220295706,-1.9575720032509735e-05
54,X8,noise,False,False,-0.0008799999999999919,0.0,-3.162134579181686e-05
55,X1,confounder_proxy,False,True,-0.0020200000000000218,0.07096550060517348,0.0327269620931399
55,X2,confounder_proxy,False,True,0.0013600000000000279,0.08012266571078364,0.039418806602330526
55,X3,true_cause,True,True,0.51976,0.1273372744365755,0.06041535457818466
55,X4,redundant_proxy,False,True,-0.0021999999999999797,0.12364303105683483,0.0599254877946279
55,X5,noise,False,False,-0.004359999999999975,0.0,0.00013641205845127624
55,X6,noise,False,False,0.0014000000000000123,0.003346314338912748,-0.00012063335722568346
55,X7,noise,False,False,0.0009399999999999409,0.0,-0.0001372559767728987
55,X8,noise,False,False,0.0006199999999999539,0.0,-6.947581871026287e-05
56,X1,confounder_proxy,False,True,-0.00034000000000000696,0.07122296867151379,0.03662266042028328
56,X2,confounder_proxy,False,True,-0.0006599999999999939,0.08501416840315734,0.03996634820412072
56,X3,true_cause,True,True,0.5218799999999999,0.11841023357716463,0.05470847335129024
56,X4,redundant_proxy,False,True,0.0017199999999999993,0.12484427173641732,0.05460307717729611
56,X5,noise,False,False,-0.0005599999999999494,0.0,-7.571655126689114e-05
56,X6,noise,False,False,-0.0010399999999999854,0.0,-9.880256961514177e-06
56,X7,noise,False,False,-0.0041799999999999615,0.0036156057155611876,0.0001659419736801704
56,X8,noise,False,False,-0.0018600000000000838,0.0,-0.00011536739264383477
57,X1,confounder_proxy,False,True,-0.0025200000000000777,0.07864460325035427,0.03613426016526745
57,X2,confounder_proxy,False,True,-0.00024000000000001798,0.0706464646538647,0.03345269432317754
57,X3,true_cause,True,True,0.5181,0.11760340970392757,0.054768102514698755
57,X4,redundant_proxy,False,True,-0.003020000000000078,0.11540364633913658,0.05418014360940624
57,X5,noise,False,False,0.0037599999999999856,0.005794808814930441,-0.0001875198263447353
57,X6,noise,False,False,0.00012000000000000899,0.0019169574332487116,9.313379825238056e-05
57,X7,noise,False,False,0.0011800000000000699,0.0005953770172961725,6.151111788647024e-05
57,X8,noise,False,False,-0.0017199999999999993,0.0,-4.955925215812229e-05
58,X1,confounder_proxy,False,True,0.0020199999999999108,0.0645277447318855,0.03200790288063152
58,X2,confounder_proxy,False,True,-0.0015599999999998948,0.07011426139146604,0.03554097800515541
58,X3,true_cause,True,True,0.51912,0.11093754568448233,0.05257694200548325
58,X4,redundant_proxy,False,True,-0.0031200000000000117,0.11097241696678628,0.05231505708217617
58,X5,noise,False,False,-0.0015800000000000258,0.0009503150522665038,4.225044868659822e-06
58,X6,noise,False,False,-0.0014200000000000323,0.0003940038536924817,-7.003823425839606e-06
58,X7,noise,False,False,-0.003559999999999952,0.0,9.038134462731051e-05
58,X8,noise,False,False,-0.0015000000000000013,0.0,-0.000168388618692088
59,X1,confounder_proxy,False,True,-0.00045999999999996044,0.07193435469015075,0.033519445330778816
59,X2,confounder_proxy,False,True,-0.0022600000000000398,0.07328526670270907,0.034859446244620264
59,X3,true_cause,True,True,0.52002,0.11937057468102008,0.05920579042470459
59,X4,redundant_proxy,False,True,0.0034600000000000186,0.11938433277600247,0.05903772887759873
59,X5,noise,False,False,0.0011999999999999789,0.0017259247082930251,-2.7386472271797578e-05
59,X6,noise,False,False,-0.0024200000000000332,0.0006344612189392862,-0.00013804748885509977
59,X7,noise,False,False,-0.0019799999999999818,0.0,-0.00011610312611402884
59,X8,noise,False,False,-0.0029599999999999627,0.0,9.289303140373572e-05
