order,context_indices,target_idx,context_size,target_feature,ground_truth,context_features,repeat,fold,delta
1,(),0,0,a1,informative,(),0,0,-0.0020847423946058208
1,(),0,0,a1,informative,(),0,1,-0.01263438166635067
1,(),0,0,a1,informative,(),0,2,-0.0008974271921545207
1,(),0,0,a1,informative,(),0,3,3.635287914671714e-05
1,(),0,0,a1,informative,(),0,4,0.003529240975425396
1,(),0,0,a1,informative,(),1,0,-0.0004560348337145914
1,(),0,0,a1,informative,(),1,1,-0.002625033863108639
1,(),0,0,a1,informative,(),1,2,-0.0007850926881590725
1,(),0,0,a1,informative,(),1,3,0.0008184230486368849
1,(),0,0,a1,informative,(),1,4,0.0032762561685700797
1,(),0,0,a1,informative,(),2,0,-0.007349960538674427
1,(),0,0,a1,informative,(),2,1,0.0022689978371897013
1,(),0,0,a1,informative,(),2,2,-0.0053599328410046665
1,(),0,0,a1,informative,(),2,3,-0.0010782254075570874
1,(),0,0,a1,informative,(),2,4,-0.0009042659827218635
1,(),0,0,a1,informative,(),3,0,-0.005540598148098985
1,(),0,0,a1,informative,(),3,1,-0.01121571139060451
1,(),0,0,a1,informative,(),3,2,-0.012286643819750587
1,(),0,0,a1,informative,(),3,3,-0.008449933658813802
1,(),0,0,a1,informative,(),3,4,-0.0011973033999690408
1,(),0,0,a1,informative,(),4,0,0.0027510524930033364
1,(),0,0,a1,informative,(),4,1,-2.4567644922979248e-05
1,(),0,0,a1,informative,(),4,2,-0.004101438017614756
1,(),0,0,a1,informative,(),4,3,0.001991233583251817
1,(),0,0,a1,informative,(),4,4,-0.0024366967458288036
1,(),1,0,a2,informative,(),0,0,-0.008565081076905678
1,(),1,0,a2,informative,(),0,1,0.005688307359107303
1,(),1,0,a2,informative,(),0,2,-0.00837504904355929
1,(),1,0,a2,informative,(),0,3,-0.007931989451637977
1,(),1,0,a2,informative,(),0,4,-0.0020371291785096224
1,(),1,0,a2,informative,(),1,0,0.006548096168615958
1,(),1,0,a2,informative,(),1,1,0.00015520646216049538
1,(),1,0,a2,informative,(),1,2,-7.419554590160082e-05
1,(),1,0,a2,informative,(),1,3,0.008195593022174541
1,(),1,0,a2,informative,(),1,4,0.0011314194057013838
1,(),1,0,a2,informative,(),2,0,-0.0024512550238854347
1,(),1,0,a2,informative,(),2,1,0.0034564392597633553
1,(),1,0,a2,informative,(),2,2,-0.0025438031200075706
1,(),1,0,a2,informative,(),2,3,-0.001495746135751097
1,(),1,0,a2,informative,(),2,4,0.004587930085667935
1,(),1,0,a2,informative,(),3,0,0.001422261331237129
1,(),1,0,a2,informative,(),3,1,-0.009223650279197804
1,(),1,0,a2,informative,(),3,2,0.004805902906285908
1,(),1,0,a2,informative,(),3,3,0.00973743473737132
1,(),1,0,a2,informative,(),3,4,0.004211909207272546
1,(),1,0,a2,informative,(),4,0,-0.0003918043073714017
1,(),1,0,a2,informative,(),4,1,0.002495088560432457
1,(),1,0,a2,informative,(),4,2,-0.0076991346463182175
1,(),1,0,a2,informative,(),4,3,0.012056401259634697
1,(),1,0,a2,informative,(),4,4,0.009773363552795455
