experiment,claim,seed_ix,seed,n,order,estimator,loss,target_feature,context_features,repeat,fold,delta,protocol,calibrated,context_feature
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),0,0,-0.003492162391940612,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),0,1,0.0,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),0,2,0.005115138865718127,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),0,3,0.01990835291110271,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),0,4,0.01808830125667149,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),1,0,0.01987183260054326,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),1,1,0.006836516572814477,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),1,2,0.018801833302609094,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),1,3,0.0,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),1,4,-0.03211052681006066,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),2,0,-0.008633950167465265,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),2,1,0.0,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),2,2,-0.016842967511704776,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),2,3,-0.0249204040494998,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),2,4,-0.0035074716479935875,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),3,0,0.0017142309845330495,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),3,1,-0.003426436078225792,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),3,2,-0.0017299290580620186,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),3,3,-0.005202585798997128,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),3,4,0.0077705214877211715,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),4,0,-0.04468774520794283,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),4,1,0.0060510960736669395,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),4,2,-0.006902895190542213,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),4,3,-0.026967962099336718,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X1,(),4,4,-0.01450217974225354,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X2,(),0,0,-0.010285647209335447,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X2,(),0,1,-0.008535496190790304,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X2,(),0,2,0.012795895484165487,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X2,(),0,3,-0.02130262141986672,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X2,(),0,4,0.010379847170244316,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X2,(),1,0,-0.022128254588289376,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X2,(),1,1,-0.022274490043544204,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X2,(),1,2,-0.012841903875055793,,,
