experiment,claim,estimator,n,protocol,loss,calibrated,order,target_feature,context_feature,context_features,source_file,mean_delta,std_fold_delta,se_unit_mean,ci95_boot_low,ci95_boot_high,n_units,n_repeats,n_seeds,n_folds_total,interval_unit
mixed_dgp,mixed_noise_control,rf,4096,,rmse,,1,X6,,(),outer_seed_uq_raw_long.csv,-2.0616747874257735e-05,0.014901929433420738,0.000537211764492526,-0.001065295791048871,0.0010585815331584018,100,5,100,2500,seed_mean
mixed_dgp,mixed_noise_control,rf,4096,,rmse,,1,X7,,(),outer_seed_uq_raw_long.csv,0.00028358547565821186,0.014251187998523375,0.0004861233743254525,-0.0006560051586626575,0.0012425213174404042,100,5,100,2500,seed_mean
mixed_dgp,mixed_pair_complement,rf,4096,,rmse,,2,X2,,"('X3',)",outer_seed_uq_raw_long.csv,0.09427620337586404,0.012651263330465427,0.0004939389830601314,0.09332508106119909,0.09521957460786448,100,5,100,2500,seed_mean
mixed_dgp,mixed_pair_complement,rf,4096,,rmse,,2,X3,,"('X2',)",outer_seed_uq_raw_long.csv,0.0941316183518077,0.01266305057372383,0.00045956429537446955,0.09319736775691802,0.09503209254936179,100,5,100,2500,seed_mean
mixed_dgp,mixed_redundant_proxy,rf,4096,,rmse,,1,X4,,(),outer_seed_uq_raw_long.csv,0.05026163278036979,0.015856686146694915,0.0006209770809962012,0.04905953329881126,0.05147345552829724,100,5,100,2500,seed_mean
mixed_dgp,mixed_redundant_proxy,rf,4096,,rmse,,1,X5,,(),outer_seed_uq_raw_long.csv,0.05172115757130288,0.015705899003012357,0.0006038694102189794,0.05055030171097394,0.05295692073575508,100,5,100,2500,seed_mean
mixed_dgp,mixed_singleton_signal,rf,4096,,rmse,,1,X1,,(),outer_seed_uq_raw_long.csv,0.05156164805417909,0.015532576171058545,0.0006100011035298742,0.05033905739885521,0.05282411891108546,100,5,100,2500,seed_mean
xor2_logloss,loss_specific_limit,dt,800,DT + RMSE,rmse,False,2,X1,X2,"('X2',)",outer_seed_uq_raw_long.csv,0.5016406879774562,0.01997295857820187,0.0004217029875725598,0.5008160576122386,0.5024635477804955,100,5,100,2500,seed_mean
xor2_logloss,loss_specific_limit,dt,800,DT + log-loss,logloss,False,2,X1,X2,"('X2',)",outer_seed_uq_raw_long.csv,0.6972675998099892,0.040358278414531344,0.0008484012333543166,0.6956422185965779,0.6989312681620664,100,5,100,2500,seed_mean
xor2_logloss,loss_specific_limit,dt,800,DT + log-loss (calibrated),logloss,True,2,X1,X2,"('X2',)",outer_seed_uq_raw_long.csv,0.6967138168427025,0.036029695865101435,0.0007569814388251199,0.6952492584786,0.6982035631381948,100,5,100,2500,seed_mean
xor2_logloss,loss_specific_limit,dt,3200,DT + RMSE,rmse,False,2,X1,X2,"('X2',)",outer_seed_uq_raw_long.csv,0.5003817570483285,0.009794848584437233,0.00019915620441518438,0.4999979027060106,0.5007631008498412,100,5,100,2500,seed_mean
xor2_logloss,loss_specific_limit,dt,3200,DT + log-loss,logloss,False,2,X1,X2,"('X2',)",outer_seed_uq_raw_long.csv,0.6941055140289887,0.019651562667506495,0.00039990567096104675,0.693334512174202,0.6948600176068345,100,5,100,2500,seed_mean
xor2_logloss,loss_specific_limit,dt,3200,DT + log-loss (calibrated),logloss,True,2,X1,X2,"('X2',)",outer_seed_uq_raw_long.csv,0.6939084175148155,0.01719120478977016,0.0003484601978803105,0.6932400462435951,0.6945811773034923,100,5,100,2500,seed_mean
xor2_logloss,loss_specific_limit,dt,12800,DT + RMSE,rmse,False,2,X1,X2,"('X2',)",outer_seed_uq_raw_long.csv,0.5000526379668705,0.004902605804254974,9.325669661299777e-05,0.49986759754067184,0.5002366115668855,100,5,100,2500,seed_mean
xor2_logloss,loss_specific_limit,dt,12800,DT + log-loss,logloss,False,2,X1,X2,"('X2',)",outer_seed_uq_raw_long.csv,0.6933008459521831,0.00981133928155121,0.0001868934231039547,0.6929455906566844,0.6936654372199602,100,5,100,2500,seed_mean
xor2_logloss,loss_specific_limit,dt,12800,DT + log-loss (calibrated),logloss,True,2,X1,X2,"('X2',)",outer_seed_uq_raw_long.csv,0.6931633134062692,0.008686484160896953,0.0001549566657843865,0.6928541666196772,0.6934628660291602,100,5,100,2500,seed_mean
xor3,xor3_order1_zero,dt,4096,,rmse,,1,X1,,(),outer_seed_uq_raw_long.csv,7.060605488884838e-05,0.01750112536497691,0.0006327299011933902,-0.0011603330251593964,0.001286673155563282,100,5,100,2500,seed_mean
xor3,xor3_order1_zero,dt,4096,,rmse,,1,X2,,(),outer_seed_uq_raw_long.csv,-0.00041287874958343166,0.017365210295658753,0.0006670065071377701,-0.0017066336007533153,0.0008731567543725387,100,5,100,2500,seed_mean
xor3,xor3_order1_zero,dt,4096,,rmse,,1,X3,,(),outer_seed_uq_raw_long.csv,-0.0009027575414382139,0.01720337774569286,0.0006351928051747491,-0.0021243283713591526,0.00033366968144349785,100,5,100,2500,seed_mean
xor3,xor3_order2_zero,dt,4096,,rmse,,2,X1,,"('X2',)",outer_seed_uq_raw_long.csv,0.0006532878182666165,0.017243806621324704,0.0004887033653542259,-0.000332232453220674,0.001631874662250539,100,5,100,2500,seed_mean
xor3,xor3_order2_zero,dt,4096,,rmse,,2,X1,,"('X3',)",outer_seed_uq_raw_long.csv,0.00021267979668270333,0.017137369334959948,0.00045798147069799934,-0.000665453046607492,0.0010856392796479153,100,5,100,2500,seed_mean
