order,target_feature,ground_truth,context_features,source_file,mean_delta,std_fold_delta,se_unit_mean,ci95_boot_low,ci95_boot_high,n_units,n_repeats,n_seeds,n_folds_total,interval_unit,n,protocol,loss,calibrated,context_feature
1.0,a1,informative,(),null_swap_monks1_raw.csv,-0.0025902573299372146,0.004712918964163699,0.0013864948310288688,-0.005212574980663583,-0.0005423299907282152,5,5,0,25,repeat_mean,,,,,
1.0,a2,informative,(),null_swap_monks1_raw.csv,0.000939060620366984,0.006155050358878812,0.0014004551346597732,-0.0018461255838390876,0.003002245234415732,5,5,0,25,repeat_mean,,,,,
1.0,a3,noise,(),null_swap_monks1_raw.csv,-0.0011030376845573443,0.002380909836357688,0.00023368724763625246,-0.0015594122041500398,-0.000732913960244104,5,5,0,25,repeat_mean,,,,,
1.0,a4,noise,(),null_swap_monks1_raw.csv,-0.001441493575245496,0.0038951289620461262,0.0011312616967528134,-0.0030815176674788562,0.0007327439817495479,5,5,0,25,repeat_mean,,,,,
1.0,a5,informative,(),null_swap_monks1_raw.csv,0.09313101599174872,0.025096622445880665,0.0032964402109426105,0.08728420996936133,0.09835876654164248,5,5,0,25,repeat_mean,,,,,
1.0,a6,noise,(),null_swap_monks1_raw.csv,-0.000597292298650292,0.0019066838427340667,0.0002409133777471291,-0.0009943353332736,-0.00015458445140075606,5,5,0,25,repeat_mean,,,,,
2.0,a1,informative,"('a2',)",null_swap_monks1_raw.csv,0.1375435665764385,0.031974576746092866,0.004277595519241169,0.1295011056552979,0.14400263110099218,5,5,0,25,repeat_mean,,,,,
2.0,a1,informative,"('a3',)",null_swap_monks1_raw.csv,-0.0020031618268717306,0.0070934380417092095,0.0007276498792010873,-0.0032920130805447635,-0.000922981335398252,5,5,0,25,repeat_mean,,,,,
2.0,a1,informative,"('a4',)",null_swap_monks1_raw.csv,-0.005757700206757148,0.009223543236865903,0.0016829909787013533,-0.009159187912559503,-0.0031669919448945602,5,5,0,25,repeat_mean,,,,,
2.0,a1,informative,"('a5',)",null_swap_monks1_raw.csv,-0.000606072945598716,0.010128939733000906,0.0009617402895874918,-0.00208944745762816,0.001250494589552208,5,5,0,25,repeat_mean,,,,,
2.0,a1,informative,"('a6',)",null_swap_monks1_raw.csv,-0.0032479103353213194,0.008420445169962357,0.002637896462010181,-0.007675775015159948,0.00152850258209756,5,5,0,25,repeat_mean,,,,,
2.0,a2,informative,"('a1',)",null_swap_monks1_raw.csv,0.15269414296606645,0.028142530368563106,0.0035053092257566385,0.14549271262614005,0.15727792560148435,5,5,0,25,repeat_mean,,,,,
2.0,a2,informative,"('a3',)",null_swap_monks1_raw.csv,-0.0007525112046761002,0.006757812971711725,0.0007363484554237813,-0.00200172424024798,0.000511405335833044,5,5,0,25,repeat_mean,,,,,
2.0,a2,informative,"('a4',)",null_swap_monks1_raw.csv,-0.0025048389345073323,0.009103401987421721,0.0011772096895651563,-0.004439302281735928,-0.0002718817215098561,5,5,0,25,repeat_mean,,,,,
